zero,Coffeemaker,Blender,Microwave,Toaster,Washing,Iron,Dishwasher,Electricboiler,Dryer,TV,Computer,Heater,AC
,7,7,28,2,22,118,2,36,21,66,25,17,48
,15,3,22,2,36,76,2,49,11,61,35,42,35
,12,14,11,2,59,94,3,4,60,16,68,50,73
,5,13,31,1,13,110,15,30,34,1,73,19,75
,16,26,35,10,5,146,11,39,1,19,54,50,18
,19,18,19,11,15,58,21,28,54,35,4,60,60
,13,23,43,4,50,128,18,43,21,46,71,32,58
,7,26,37,1,26,53,17,34,7,53,51,78,67
,23,6,19,14,20,41,21,4,22,51,9,53,2
,15,14,50,20,14,21,7,47,62,65,72,63,56
,13,26,21,19,33,38,8,30,15,16,35,57,50
,15,26,50,8,20,69,9,16,52,26,50,19,11
,4,17,10,20,54,61,22,23,30,72,2,15,16
,23,13,1,14,45,113,17,18,75,51,12,65,54
,14,26,34,1,43,67,16,3,35,33,7,10,77
,18,12,23,20,31,28,4,14,20,15,85,37,76
,7,16,29,2,31,68,1,42,62,62,76,6,23
,20,26,1,12,25,33,5,15,31,81,17,67,85
,5,13,38,16,23,139,15,40,42,44,11,16,24
,15,22,48,11,16,55,18,39,51,14,62,74,85
,7,15,2,3,8,37,10,18,50,32,42,74,58
,16,17,45,7,48,79,8,38,17,42,84,40,30
,12,17,43,20,6,38,1,47,50,11,1,61,46
,22,18,21,4,45,102,15,16,50,41,42,47,55
,12,2,20,11,30,85,21,33,37,31,5,3,72
,17,8,11,15,8,6,15,41,1,14,36,7,47
,11,16,13,14,56,60,25,11,40,4,49,70,6
,14,29,8,15,24,129,14,13,66,74,78,8,36
,4,4,4,6,17,72,9,13,16,83,55,79,40
,1,26,24,16,17,128,11,7,60,74,60,28,24
,19,23,49,20,49,146,19,49,20,78,49,10,32
,8,28,18,13,6,17,13,31,38,27,41,50,80
,16,30,39,1,16,110,2,7,56,26,27,84,14
,25,19,39,8,2,4,14,18,70,59,58,53,59
,14,7,28,16,25,77,10,15,2,43,75,43,26
,5,1,25,12,54,51,16,23,2,32,70,72,77
,13,5,50,5,12,113,1,27,33,3,61,16,75
,4,8,13,18,16,12,20,50,71,20,30,62,53
,16,13,22,12,13,84,6,26,67,67,38,81,52
,25,16,26,9,59,112,5,22,33,62,15,58,85
,15,15,37,2,50,113,14,14,1,43,12,61,54
,22,27,39,1,11,53,2,25,61,16,22,34,84
,1,4,4,20,12,71,9,5,10,44,35,39,12
,13,27,42,7,4,133,21,10,50,47,62,63,20
,19,17,31,16,30,52,19,21,36,22,54,57,44
,17,23,47,6,56,68,4,24,65,55,66,13,74
,21,7,45,12,60,16,17,19,38,69,1,19,33
,10,29,6,1,36,16,10,20,43,79,34,55,68
,20,12,48,9,59,68,6,18,73,67,2,25,63
,22,14,45,10,51,60,22,6,7,38,60,22,23
,9,2,28,19,53,142,17,16,34,16,14,23,60
,6,23,13,6,14,60,25,13,32,56,28,22,42
,16,23,43,1,45,86,12,1,22,48,54,18,14
,1,11,23,12,19,32,9,3,27,84,80,52,25
,25,16,5,7,46,57,20,7,73,18,38,51,24
,25,25,31,17,10,61,15,18,51,37,66,64,55
,6,9,35,6,58,99,12,34,35,46,30,17,79
,20,21,16,10,7,115,4,48,62,49,51,78,19
,12,30,8,4,5,104,6,31,56,71,46,52,28
,5,5,45,7,8,111,21,39,48,8,73,56,20
,16,23,30,5,31,108,3,7,19,55,57,56,79
,2,9,23,12,9,6,11,38,37,22,66,33,28
,5,9,32,8,22,105,25,1,53,45,79,29,51
,13,8,2,11,6,57,17,13,19,46,18,40,27
,7,2,5,16,17,55,24,17,37,75,83,85,15
,3,18,2,14,55,48,1,37,30,68,44,13,54
,19,10,41,3,1,23,11,28,70,50,13,13,44
,21,23,30,15,42,123,15,33,65,84,40,62,49
,5,2,29,16,14,125,16,9,48,13,33,4,15
,12,4,31,19,25,53,16,47,29,27,79,66,15
,19,20,36,10,11,100,10,33,45,65,39,32,17
,23,13,48,12,12,76,25,33,60,26,13,82,30
,17,21,41,2,20,104,25,25,10,74,81,3,8
,2,10,26,11,2,91,9,27,58,60,52,74,40
,11,3,1,3,20,74,18,6,74,37,54,9,41
,7,29,49,13,13,60,8,2,14,19,61,10,29
,23,2,17,8,25,56,17,17,56,35,58,49,31
,16,28,12,20,28,128,20,4,66,6,50,2,23
,17,24,45,20,43,46,12,20,42,7,77,49,8
,6,7,27,4,25,118,21,13,20,31,62,27,74
,10,16,43,11,29,31,8,38,69,59,33,58,10
,4,10,18,17,53,5,16,14,41,78,39,37,15
,19,23,18,15,21,28,19,24,62,7,62,69,31
,1,15,40,8,44,8,10,4,6,34,59,30,80
,19,6,22,17,50,68,9,32,46,18,64,42,80
,15,9,31,13,47,76,9,13,22,33,27,72,42
,3,23,47,20,31,115,22,43,26,65,77,6,33
,19,20,37,9,35,42,20,44,10,46,84,42,9
,18,11,30,2,45,20,17,6,16,23,82,62,63
,15,3,42,13,25,45,16,4,75,44,63,37,21
,13,15,38,3,17,49,19,38,19,21,42,16,21
,2,8,49,4,26,122,7,30,4,62,7,52,58
,17,29,14,18,45,78,22,49,23,13,21,40,65
,8,23,43,9,47,59,25,8,10,35,19,70,18
,8,12,15,16,18,83,13,45,34,59,32,27,67
,4,1,19,4,30,98,4,44,27,22,26,55,75
,24,13,26,16,42,140,14,2,74,38,50,82,17
,10,15,12,10,47,51,16,38,65,38,54,71,29
,16,9,31,14,49,13,1,38,71,53,44,10,8
,11,29,23,20,14,103,18,4,71,44,5,69,63
,18,2,13,6,18,29,2,36,75,10,54,60,78
,3,27,13,1,55,28,20,50,69,84,17,53,26
,9,2,33,3,38,60,17,9,22,83,76,65,27
,10,7,30,16,15,39,6,2,52,47,82,24,78
,14,23,6,4,48,54,4,49,65,32,60,65,33
,15,13,45,12,8,131,9,46,68,47,36,67,10
,3,18,22,2,44,140,7,20,55,41,85,74,48
,17,17,49,3,44,12,19,30,67,78,32,65,22
,8,7,25,11,40,33,2,42,57,5,73,33,27
,10,17,22,17,53,82,23,30,27,14,31,41,46
,13,6,41,1,2,103,21,27,43,72,13,1,69
,18,5,7,5,32,54,6,9,31,60,17,78,33
,21,25,14,7,59,146,2,16,28,28,8,32,5
,2,12,10,7,1,64,6,49,28,30,18,59,37
,13,29,22,19,27,32,8,40,17,17,34,6,73
,14,21,44,17,43,85,23,35,43,1,32,70,78
,20,26,44,6,1,102,3,16,49,21,3,81,9
,6,15,9,15,10,45,18,43,62,48,80,52,70
,17,17,31,12,37,66,9,30,60,44,65,76,34
,14,18,26,7,46,36,15,46,65,55,3,9,30
,25,8,41,3,47,82,20,14,2,65,3,48,39
,6,21,40,2,57,111,14,1,51,60,55,9,60
,19,30,6,13,1,56,18,48,62,80,25,15,83
,24,24,14,6,58,72,13,41,24,53,28,35,24
,12,21,48,13,46,30,24,29,70,66,65,16,6
,11,17,15,17,11,57,9,42,54,43,2,64,36
,18,7,14,12,32,73,12,46,43,22,56,15,49
,19,9,29,10,3,12,11,50,73,25,62,85,21
,12,23,42,2,37,25,2,17,52,15,65,40,6
,6,4,23,9,6,91,14,31,1,75,36,36,25
,3,7,23,8,46,43,1,39,7,8,71,21,62
,5,9,35,1,16,27,8,15,56,54,54,43,53
,10,18,37,1,14,34,7,22,58,4,66,39,58
,25,13,14,5,55,61,25,27,21,22,3,10,81
,9,14,44,18,41,26,21,27,72,19,66,76,16
,17,2,32,18,54,110,16,37,48,49,78,56,66
,2,29,47,13,1,87,3,2,61,10,18,24,21
,19,12,45,15,33,31,2,2,49,80,58,32,63
,20,27,33,10,20,64,9,5,43,12,82,17,29
,16,9,11,12,38,95,22,20,48,17,76,44,20
,14,10,41,1,46,58,2,33,73,51,72,52,85
,16,3,48,16,6,112,19,40,34,59,72,58,21
,4,25,29,6,35,108,15,16,23,69,76,7,28
,25,22,29,19,18,141,2,43,35,51,63,24,6
,16,20,13,16,19,18,25,34,74,2,45,72,72
,20,30,12,10,19,28,5,7,10,76,52,57,28
,12,22,32,16,8,136,19,41,23,33,47,13,41
,6,24,11,1,57,56,7,37,24,6,22,10,51
,4,15,28,18,27,70,21,21,19,26,73,10,84
,8,16,5,11,5,135,5,46,11,56,71,4,35
,21,24,17,6,41,144,19,8,19,52,11,60,49
,4,25,37,19,19,128,21,47,34,43,21,75,75
,7,8,22,6,30,150,8,3,42,52,71,69,60
,16,22,38,20,17,35,17,14,46,57,25,43,27
,9,2,11,18,56,101,24,16,36,18,79,35,75
,25,13,5,14,27,9,15,26,37,48,16,63,49
,25,10,40,20,54,44,6,32,73,50,26,49,57
,6,25,17,7,25,45,15,6,20,12,40,69,39
,9,15,40,16,12,92,11,30,15,20,57,3,72
,11,28,22,20,32,54,18,3,71,42,7,19,69
,9,5,45,5,3,108,10,32,25,47,75,75,45
,11,17,44,5,4,48,25,28,25,46,76,40,21
,9,16,36,10,8,128,18,16,24,81,49,74,30
,24,25,3,6,27,108,15,21,1,78,60,37,83
,19,22,40,5,60,61,25,35,72,11,67,6,31
,6,15,3,4,58,91,11,8,72,15,63,43,29
,5,9,6,5,39,17,9,41,55,16,2,42,79
,23,25,27,16,22,104,9,35,41,59,33,11,59
,12,20,8,10,46,117,8,34,32,84,61,82,24
,6,21,1,15,35,100,7,8,61,15,15,74,73
,8,29,12,14,30,134,21,31,58,66,38,29,65
,15,16,26,17,46,65,21,45,60,53,54,60,50
,18,2,28,17,24,60,1,4,9,19,27,13,61
,16,16,43,16,29,128,11,28,74,10,24,82,36
,20,13,22,17,27,54,5,25,7,34,77,81,61
,1,3,13,6,28,80,22,22,6,57,3,82,76
,7,10,29,5,29,33,4,30,18,35,58,15,74
,9,27,13,6,14,20,2,10,47,68,61,60,69
,13,21,22,7,20,81,12,16,2,49,76,2,52
,9,2,45,9,47,101,21,16,69,62,49,60,22
,6,28,17,9,42,41,23,45,37,29,46,14,30
,2,26,26,5,54,46,11,40,14,31,3,31,43
,24,4,40,6,19,50,21,18,5,58,42,68,33
,18,28,36,5,18,108,20,23,63,1,42,53,28
,9,27,21,13,39,61,15,40,69,20,47,19,11
,18,28,38,14,11,82,25,35,56,79,57,14,73
,3,4,10,14,36,139,3,27,54,77,27,19,45
,13,25,44,8,28,99,8,32,63,52,33,47,17
,23,3,18,19,44,87,8,35,22,66,27,51,25
,23,28,31,13,22,2,6,48,66,12,5,35,65
,10,12,36,20,51,117,22,39,71,72,52,52,20
,19,8,46,1,49,54,1,37,25,39,74,44,19
,24,14,21,6,43,109,1,4,74,68,49,50,43
,17,18,47,9,13,42,19,14,3,59,63,21,8
,9,13,14,2,60,148,19,50,29,82,12,22,18
,16,27,41,19,22,75,4,31,58,31,26,55,12
,21,3,21,15,26,24,4,13,72,36,36,77,76
,6,9,38,13,51,37,1,28,34,4,55,23,84
,2,8,25,6,12,74,11,28,47,61,38,45,8
,7,30,47,10,27,139,24,24,41,49,61,34,4
,1,26,45,5,37,129,8,23,73,34,16,16,22
,21,16,38,19,11,38,17,15,3,52,3,32,36
,6,30,33,5,57,46,25,38,47,11,79,1,13
,1,30,4,1,1,5,11,25,29,68,59,71,67
,19,12,32,14,9,29,12,4,16,17,74,51,37
,2,27,6,15,4,129,19,40,44,84,13,20,52
,12,20,43,6,50,126,7,9,31,28,59,62,80
,23,26,32,15,33,101,4,41,20,50,19,60,64
,24,7,5,18,51,10,25,42,17,40,39,58,28
,15,20,37,1,9,137,2,6,52,4,14,71,1
,11,4,24,20,1,49,2,2,55,21,63,11,56
,10,21,19,1,42,87,1,32,30,69,13,61,58
,1,6,33,17,54,17,11,14,47,42,29,10,73
,5,1,47,11,44,55,14,50,28,85,5,12,46
,24,14,32,7,46,146,18,45,22,53,55,16,85
,16,2,2,7,44,148,2,8,32,74,68,34,26
,19,6,35,9,1,6,21,43,64,80,51,85,9
,22,6,35,3,60,46,13,17,72,24,64,84,9
,11,2,1,7,38,78,9,27,17,31,54,60,74
,12,6,28,4,44,23,21,12,43,67,33,66,39
,2,30,4,16,11,66,11,4,5,73,75,38,18
,7,24,43,7,10,31,3,24,17,25,60,35,85
,10,29,32,2,27,84,13,12,68,44,53,30,47
,1,25,48,14,3,50,19,46,63,56,26,37,37
,2,5,2,10,5,18,24,10,49,72,58,6,47
,6,15,30,6,19,9,20,44,57,78,37,27,63
,11,30,26,4,8,147,24,1,44,21,48,18,55
,22,12,43,7,20,106,23,31,23,40,42,83,45
,3,1,12,8,25,115,16,26,60,28,75,14,16
,10,23,43,6,35,16,17,46,61,50,69,11,68
,11,17,10,8,14,66,3,49,43,39,52,19,9
,16,29,14,12,18,10,2,18,35,7,1,53,1
,25,2,32,18,55,105,23,12,70,68,68,28,76
,13,20,20,11,19,76,21,38,44,15,73,35,80
,15,28,49,2,4,106,18,26,75,14,6,18,57
,18,23,41,4,41,8,7,43,32,23,70,78,25
,10,11,40,15,6,13,7,2,65,16,68,1,58
,5,24,47,15,57,4,12,8,35,52,85,26,36
,13,22,15,19,13,43,19,24,39,27,55,40,18
,20,29,14,9,3,124,13,7,64,76,21,33,39
,18,17,31,11,47,52,10,28,34,34,6,53,33
,3,20,49,1,15,138,18,17,28,85,84,61,81
,25,6,8,14,53,15,16,4,35,1,74,40,83
,2,27,23,12,46,59,17,15,72,48,27,1,55
,8,5,31,8,32,84,8,28,41,17,70,24,11
,3,3,44,20,42,146,25,8,20,27,62,64,7
,4,6,39,5,32,91,12,29,41,59,53,85,72
,1,26,29,2,49,107,22,50,59,56,75,15,45
,2,19,32,16,51,86,17,16,64,36,29,7,40
,3,17,38,15,8,43,14,40,60,77,62,32,69
,4,25,32,6,53,89,8,33,49,62,23,10,53
,5,10,28,6,53,119,22,4,24,69,68,61,71
,3,4,24,16,21,119,1,35,63,51,53,4,15
,7,13,47,8,27,67,9,33,8,7,13,14,26
,21,12,41,18,18,38,14,14,64,60,9,49,11
,5,5,48,17,43,5,18,7,57,58,66,61,64
,3,14,23,1,31,73,9,36,49,79,71,53,83
,15,28,17,6,52,124,23,2,57,31,75,47,59
,17,27,31,7,23,36,17,21,47,30,59,78,39
,5,23,44,10,11,37,18,4,57,3,74,11,18
,16,26,44,9,23,103,1,18,51,66,25,44,75
,8,4,50,18,49,9,20,13,42,18,61,68,62
,8,26,5,17,59,2,5,31,3,23,60,17,68
,16,3,12,8,52,131,15,10,75,68,26,18,58
,20,1,30,18,59,123,9,3,59,66,68,65,84
,9,2,48,10,22,19,15,9,29,8,43,24,3
,24,23,27,18,45,15,10,35,28,61,16,28,29
,4,28,1,8,56,86,6,13,6,34,83,82,74
,20,25,18,6,10,133,12,6,64,72,80,56,83
,12,4,30,20,10,65,15,23,35,33,43,66,14
,23,17,43,14,41,8,3,19,56,21,81,52,72
,21,21,46,15,18,79,24,43,55,71,61,11,69
,9,18,25,3,31,148,15,49,67,29,29,84,84
,22,5,38,8,32,38,14,43,59,65,14,58,82
,8,19,48,20,31,55,23,31,45,41,42,67,38
,14,4,18,13,13,11,6,38,72,15,55,56,37
,21,17,11,17,15,20,3,48,45,39,36,7,24
,25,22,22,3,23,101,11,46,46,74,7,80,64
,23,21,33,11,60,12,16,29,34,32,55,64,41
,17,27,25,19,41,101,15,11,68,56,82,60,59
,20,11,21,12,20,78,6,42,32,12,45,8,32
,14,28,28,14,31,148,20,39,35,69,35,62,55
,6,17,26,13,60,123,16,30,58,75,76,44,26
,5,23,23,10,24,46,14,29,73,16,59,51,30
,23,16,8,19,57,78,21,24,31,34,7,84,37
,25,13,49,20,36,53,7,16,64,67,27,57,78
,12,1,1,14,33,89,5,1,30,55,85,12,44
,7,15,12,2,28,130,1,13,22,64,31,14,15
,4,26,4,20,6,108,12,36,53,14,26,41,68
,21,12,11,9,36,56,2,2,24,29,7,22,12
,2,17,28,9,35,119,5,32,58,21,3,72,10
,19,18,46,19,35,4,19,2,8,46,9,40,32
,3,7,29,7,52,24,4,18,55,19,1,50,71
,16,26,11,16,49,37,11,36,38,47,20,10,33
,19,23,5,15,56,15,9,41,17,80,12,13,6
,13,5,28,13,20,46,11,20,24,61,78,56,56
,10,13,17,4,19,129,16,18,30,37,63,61,36
,13,26,37,20,32,147,24,5,10,65,8,52,71
,4,4,32,17,20,132,15,21,2,26,33,8,13
,17,17,44,10,12,91,15,26,31,54,15,2,78
,15,23,36,6,56,76,16,49,45,72,67,82,52
,25,10,31,9,26,74,16,27,55,35,67,38,28
,7,4,13,15,52,19,8,42,71,63,64,15,83
,24,13,41,20,41,33,18,21,65,18,6,13,32
,23,25,16,3,43,23,3,9,36,52,1,4,35
,1,14,38,1,19,53,3,4,49,7,82,12,57
,14,19,43,13,16,112,8,42,28,55,75,52,47
,20,26,20,13,39,79,5,7,36,49,67,23,83
,21,30,42,15,49,93,25,35,16,53,1,15,14
,4,28,45,14,21,108,11,45,66,20,33,39,58
,11,12,35,17,49,128,24,50,71,75,7,51,49
,11,1,21,9,40,34,4,37,10,80,63,37,70
,15,10,15,2,33,70,22,11,72,72,17,71,14
,6,28,5,8,21,111,22,6,62,54,19,10,47
,25,22,46,10,6,10,9,28,15,67,64,77,63
,12,19,28,20,23,71,13,9,50,54,85,33,72
,15,30,44,11,16,148,13,25,48,5,16,18,29
,21,20,39,15,46,88,4,11,51,48,35,37,51
,1,19,24,5,38,149,3,41,30,43,44,71,27
,12,11,41,11,28,63,20,45,60,2,69,72,55
,16,11,5,4,34,26,4,34,3,41,70,61,6
,1,6,24,14,11,129,21,12,57,64,10,17,6
,22,17,27,7,35,35,9,17,30,78,81,80,21
,7,5,45,5,35,2,17,27,8,48,5,15,60
,9,23,14,1,4,107,8,16,71,74,9,85,5
,7,4,24,16,17,12,1,21,44,76,60,38,66
,7,18,37,11,40,33,9,12,13,8,54,41,66
,15,18,14,12,33,87,21,12,25,82,30,63,80
,16,28,19,14,54,54,12,48,56,65,76,66,80
,25,20,6,13,33,61,2,45,46,17,29,72,65
,16,9,6,12,59,28,19,33,69,5,84,37,24
,20,2,41,17,45,54,5,9,38,29,36,21,56
,5,14,34,17,51,81,18,30,6,55,82,39,51
,6,29,37,2,2,4,19,25,55,54,57,38,1
,12,30,35,13,3,106,19,13,31,19,33,9,34
,24,22,4,20,17,41,10,15,35,5,68,46,20
,19,4,44,18,21,75,9,40,39,85,6,79,76
,13,30,31,20,9,57,4,12,4,44,61,51,26
,2,29,18,16,51,116,17,23,16,12,73,51,36
,22,3,25,13,29,79,17,19,30,48,25,45,49
,23,12,2,1,35,119,20,19,41,65,60,29,12
,2,5,9,4,57,108,13,17,61,20,48,74,76
,18,3,17,9,25,133,1,50,58,4,19,63,4
,20,4,50,19,55,63,15,20,2,43,65,43,22
,25,10,38,19,48,43,7,10,12,16,2,17,6
,4,8,44,18,25,103,10,31,6,10,42,54,64
,2,13,29,9,22,42,12,47,51,18,29,21,72
,18,22,33,2,37,4,11,33,10,47,2,34,31
,22,2,13,7,15,99,17,50,36,20,84,50,65
,24,28,41,1,51,24,21,36,14,15,34,8,2
,25,17,22,4,10,105,7,33,55,16,24,27,38
,23,27,48,14,30,95,20,15,13,35,20,59,55
,3,8,39,2,32,121,11,42,21,46,12,66,42
,14,2,40,13,14,28,20,1,44,53,39,65,46
,13,18,14,17,43,118,20,41,32,50,50,41,13
,14,8,12,18,21,126,8,43,30,40,28,72,29
,4,6,39,4,21,23,20,33,52,76,34,33,81
,2,4,14,7,26,104,10,37,35,39,42,41,78
,18,10,32,19,59,64,10,15,61,16,53,27,76
,22,20,15,13,43,76,1,48,34,29,72,56,57
,10,24,2,16,58,19,1,4,39,84,28,67,18
,24,6,28,16,9,47,9,15,25,43,46,41,65
,21,19,40,8,15,120,25,37,13,6,51,51,36
,8,4,9,11,25,42,16,12,9,24,46,82,39
,22,19,44,4,60,123,17,5,23,73,58,30,60
,19,15,13,9,49,55,10,30,17,23,57,75,16
,10,28,39,11,44,25,4,23,9,29,56,17,59
,20,29,40,16,31,107,3,17,20,7,41,11,66
,13,13,23,8,8,92,2,31,55,54,64,84,8
,1,25,32,12,17,62,18,21,67,68,70,55,75
,23,1,9,2,14,99,14,42,42,82,65,69,27
,11,7,26,18,30,38,1,22,31,68,57,32,5
,19,16,20,2,12,8,24,39,64,38,43,63,42
,10,7,19,16,4,1,18,14,48,2,53,11,6
,24,13,7,6,42,51,12,18,10,67,52,16,80
,14,24,47,18,43,148,19,24,64,70,76,67,62
,11,21,45,14,20,28,17,47,36,83,59,51,55
,17,14,15,8,50,12,1,45,35,35,5,81,15
,17,8,27,11,26,1,1,21,19,2,65,35,79
,7,20,16,9,43,52,8,46,30,36,21,18,2
,15,5,47,19,8,46,18,19,20,8,39,53,40
,12,26,36,7,54,149,7,32,71,56,5,3,79
,1,11,40,12,14,119,7,39,66,18,16,65,40
,15,12,38,1,38,141,5,34,13,65,72,3,32
,5,27,34,16,23,108,22,37,63,39,78,40,7
,6,1,14,14,7,41,18,46,23,70,19,80,19
,5,21,31,16,59,60,1,37,13,7,54,74,65
